MsgID.GLOBAL_POSITION,0.0000000,-122.3957495,37.7932807,0.0050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,590.2980000,-0.0894202,0.2061989,-0.0011432
MsgID.LOCAL_VELOCITY,590.2980000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957493,37.7932802,-0.0230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.LOCAL_POSITION,590.5490000,-0.1602071,0.2335176,0.0257801
MsgID.LOCAL_VELOCITY,590.5490000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932794,-0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,590.8020000,-0.2303732,0.1647861,0.0436718
MsgID.LOCAL_VELOCITY,590.8020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957498,37.7932807,-0.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,591.0520000,-0.0777399,0.2056090,0.0493384
MsgID.LOCAL_VELOCITY,591.0520000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957478,37.7932806,-0.0410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,591.3020000,-0.1020966,0.3870718,0.0390433
MsgID.LOCAL_VELOCITY,591.3020000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957469,37.7932805,-0.0180000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.LOCAL_POSITION,591.5530000,-0.1081243,0.4423199,0.0164509
MsgID.LOCAL_VELOCITY,591.5530000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957486,37.7932805,0.0050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,591.8030000,-0.1082860,0.2395919,-0.0117539
MsgID.LOCAL_VELOCITY,591.8030000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957487,37.7932805,0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,592.0530000,-0.1083183,0.3197994,-0.0467204
MsgID.LOCAL_VELOCITY,592.0530000,0.0000000,0.0000000,-0.0000000
